,position,games_played,minutes/game,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,penalties,I_F_penalityMinutes,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts,Line_or_Pair
704,C,82,14.2,94.4,10.38,6.41,12,7,174,28,9,7,0,23,54,125,22,25,90,38,6,3.43,4.43,2.51,4,4,1,134,2nd line
705,C,79,13.71,134.3,18.97,9.96,9,7,240,29,13,25,0,14,30,80,26,33,114,43,27,3.4,5.68,9.89,2,6,5,184,2nd line
706,C,82,15.83,99.86,14.63,6.89,5,13,179,30,12,13,1,10,20,164,32,27,75,39,22,2.51,4.64,7.48,1,4,7,136,2nd line
707,C,82,19.13,204.52,25.65,16.49,23,17,342,67,27,21,1,8,19,128,71,35,177,73,29,5.8,9.21,10.64,6,12,9,279,1st line
708,C,63,17.41,191.75,22.92,13.77,15,9,321,40,16,16,3,26,54,150,38,40,170,51,32,5.86,6.36,10.69,3,8,5,253,1st line
709,C,11,11.67,17.07,1.54,1.16,0,0,27,1,1,3,0,0,0,16,3,7,14,7,1,0.4,0.93,0.21,0,0,1,22,3rd line
710,C,71,22.32,348.48,30.83,24.95,42,27,629,111,42,25,0,15,30,53,43,47,375,83,22,12.21,9.9,8.72,17,13,12,480,1st line
711,R,75,13.85,137.67,14.93,10.39,12,11,257,37,14,19,1,6,15,43,28,30,118,55,13,4.47,6.49,3.98,6,6,2,186,2nd line
712,C,79,19.28,194.44,27.31,16.61,19,22,342,63,22,18,5,21,42,91,50,39,138,81,37,5.06,10.26,12.0,3,8,11,256,1st line
713,D,79,19.04,85.88,5.9,4.85,6,6,177,15,3,7,0,20,52,115,18,23,109,9,4,2.41,1.22,2.27,3,0,0,122,2nd pair
714,C,48,12.17,72.23,6.76,5.26,4,2,125,14,8,8,1,5,13,16,12,10,74,25,5,1.98,2.83,1.95,3,4,1,104,3rd line
715,C,82,20.3,177.54,23.9,12.69,24,22,290,74,28,17,2,2,4,68,46,49,141,69,29,4.95,8.64,10.3,3,14,11,239,1st line
716,L,79,18.41,250.44,36.79,20.82,13,5,382,54,36,25,5,13,26,128,31,39,179,108,48,5.44,14.15,17.2,5,13,18,335,1st line
717,D,33,15.1,21.76,1.12,1.28,0,4,51,4,0,1,0,7,14,24,7,12,27,5,0,0.54,0.58,0.0,0,0,0,32,3rd pair
718,C,58,18.72,140.77,13.37,10.7,22,15,254,51,14,18,0,11,22,25,49,68,142,42,11,5.33,4.82,3.21,6,7,1,195,1st line
719,L,64,12.91,91.09,11.79,6.96,10,12,142,33,11,10,3,8,18,39,21,21,71,39,13,2.31,4.8,4.69,1,4,6,123,3rd line
720,D,47,12.11,36.27,1.24,1.87,2,2,72,4,0,2,0,10,35,133,9,8,49,2,1,0.8,0.22,0.22,0,0,0,52,3rd pair
721,D,79,23.81,152.38,7.27,9.98,28,26,352,64,10,17,1,25,53,128,55,45,212,9,4,5.06,1.0,1.21,9,0,1,225,1st pair
722,L,62,13.5,107.13,12.17,7.49,2,3,190,11,6,13,2,14,26,107,12,13,94,35,13,3.11,4.55,4.51,1,2,3,142,2nd line
723,C,67,18.77,209.18,20.71,13.89,22,17,359,66,27,16,3,3,6,59,47,54,207,53,23,5.74,6.8,8.17,10,9,8,283,1st line
724,C,81,19.29,257.06,37.92,19.13,32,17,418,80,31,30,4,5,10,34,64,41,190,103,50,6.48,12.74,18.7,11,9,11,343,1st line
725,D,55,21.43,125.28,7.24,8.52,15,18,282,41,8,9,1,9,18,16,28,24,163,17,3,4.2,1.93,1.12,4,2,2,183,1st pair
726,L,78,21.26,240.29,32.58,17.78,30,21,442,90,39,21,3,27,54,114,61,62,180,109,33,6.48,13.04,13.05,6,18,15,322,1st line
727,L,82,18.63,366.74,46.9,31.13,29,19,559,83,35,47,3,36,96,242,30,51,286,146,54,9.03,19.09,18.78,7,14,14,486,1st line
728,C,76,16.62,184.88,24.02,12.8,15,14,303,50,21,13,1,12,24,84,28,33,171,56,27,6.52,6.94,10.57,5,6,10,254,1st line
729,D,19,13.71,14.92,0.52,0.8,1,1,38,3,1,0,1,9,21,44,3,10,21,1,0,0.39,0.13,0.0,0,1,0,22,3rd pair
730,R,49,12.22,46.44,6.17,3.06,2,4,79,12,6,5,0,10,20,194,10,15,42,17,6,1.65,2.23,2.28,1,3,2,65,3rd line
731,C,79,14.06,105.5,12.91,7.35,7,3,178,24,14,12,4,3,6,39,31,15,90,41,14,3.19,5.12,4.6,4,6,4,145,2nd line
732,C,66,10.09,57.53,5.57,3.54,8,4,96,15,3,6,0,6,12,80,16,12,49,21,6,1.51,2.54,1.52,1,1,1,76,3rd line
733,D,54,18.87,53.21,2.69,3.23,6,5,126,12,1,6,0,9,21,86,14,26,71,4,3,1.4,0.58,0.71,1,0,0,78,2nd pair
734,C,82,21.1,161.52,18.09,12.02,25,15,294,66,26,17,2,10,23,50,42,52,146,49,22,4.65,6.08,7.36,7,12,7,217,1st line
735,L,74,17.38,126.13,16.11,9.66,12,16,245,45,17,12,2,11,24,43,33,27,108,48,18,3.58,5.89,6.65,4,7,6,174,1st line
736,L,82,17.77,112.75,17.43,9.3,14,11,198,38,13,17,3,6,12,86,60,13,75,49,27,2.96,6.14,8.33,2,4,7,151,1st line
737,C,12,12.23,13.91,1.06,0.92,1,1,23,2,0,1,0,4,8,12,4,3,14,5,0,0.42,0.64,0.0,0,0,0,19,3rd line
738,D,79,25.49,196.57,12.06,12.55,34,28,441,73,11,28,0,16,32,49,53,65,251,22,8,6.08,2.44,3.54,7,2,2,281,1st pair
739,C,82,17.21,281.1,28.01,19.11,17,15,490,56,24,24,5,18,36,99,34,50,278,78,27,7.99,8.93,11.1,3,11,10,383,1st line
740,C,78,19.97,312.23,36.58,22.68,35,21,555,99,43,23,2,3,6,12,60,85,279,111,33,10.59,14.0,12.0,16,16,11,423,1st line
741,L,73,18.45,228.67,29.91,19.49,18,18,380,63,27,24,7,37,77,71,40,47,188,85,35,7.06,10.86,11.99,8,11,8,308,1st line
742,L,14,10.54,19.76,2.67,1.58,1,1,29,3,1,2,0,2,4,8,4,5,11,12,3,0.42,1.36,0.9,0,1,0,26,3rd line
743,C,81,18.83,183.78,15.24,12.79,24,18,369,65,23,9,3,29,58,46,31,75,205,41,11,6.99,4.98,3.28,7,10,6,257,1st line
744,R,27,10.2,45.09,3.37,2.79,4,0,79,11,7,8,2,2,4,55,5,3,48,10,3,1.59,1.02,0.77,4,2,1,61,3rd line
745,D,72,21.97,87.51,6.68,5.46,6,7,167,19,6,10,2,19,38,74,27,19,96,21,7,2.18,2.54,1.96,0,5,1,124,1st pair
746,C,30,12.2,40.81,5.66,3.13,3,2,61,8,3,3,0,6,12,58,4,6,23,21,10,0.73,2.52,2.41,1,2,0,54,3rd line
747,D,67,20.0,89.75,6.52,5.27,5,5,189,16,6,10,0,14,31,217,13,33,100,18,6,2.32,2.24,1.96,3,2,1,124,2nd pair
748,C,82,15.98,163.5,22.27,13.22,6,9,269,35,20,20,2,9,18,71,38,32,122,69,30,4.74,8.47,9.05,3,9,8,221,2nd line
749,R,82,16.68,178.93,18.68,13.26,32,11,321,63,20,15,2,16,34,44,55,33,171,58,17,6.09,6.85,5.74,5,11,4,246,1st line
750,D,82,23.15,141.29,5.1,8.54,17,20,297,42,5,10,1,20,40,207,29,46,194,5,2,3.97,0.5,0.64,3,0,2,201,1st pair
751,R,81,15.18,140.04,11.2,8.24,10,6,230,26,10,9,2,16,32,10,28,19,145,36,9,3.45,4.07,3.68,2,4,4,190,2nd line
752,C,69,17.86,174.0,21.34,12.17,14,9,311,39,16,12,3,15,30,34,29,32,154,56,25,5.3,6.99,9.04,3,6,7,235,1st line
753,D,58,12.04,73.67,5.26,4.89,3,4,140,8,1,8,0,11,23,69,10,34,86,14,4,2.45,1.78,1.03,1,0,0,104,3rd pair
754,R,69,16.8,173.5,17.93,12.98,16,16,303,50,18,13,1,4,8,75,24,26,162,56,16,5.65,6.64,5.65,4,10,4,234,1st line
755,R,63,15.6,119.19,17.5,10.51,10,8,207,41,23,16,4,9,18,41,23,16,80,57,24,3.0,6.89,7.61,7,11,5,161,2nd line
756,R,57,8.63,55.33,5.46,3.8,3,2,94,14,9,4,1,3,6,105,13,10,47,20,6,1.41,2.5,1.54,4,5,0,73,3rd line
757,L,14,6.58,8.44,0.67,0.53,0,0,13,0,0,0,0,2,4,18,1,0,8,2,1,0.21,0.23,0.23,0,0,0,11,3rd line
758,D,46,14.53,27.99,1.63,1.62,3,3,57,6,0,2,0,4,8,34,7,12,33,4,2,0.73,0.41,0.49,0,0,0,39,3rd pair
759,D,12,13.31,14.32,0.72,0.76,0,1,29,1,0,1,0,1,2,28,3,9,18,1,1,0.37,0.09,0.26,0,0,0,20,3rd pair
760,C,60,11.39,46.46,4.96,3.06,5,1,87,10,4,4,0,11,25,60,14,17,43,17,5,1.54,2.0,1.41,0,3,1,65,3rd line
761,D,54,19.65,53.57,3.49,4.1,10,8,122,20,2,4,1,9,18,44,13,23,66,10,2,1.81,1.09,0.58,2,0,0,78,2nd pair
762,R,37,14.28,91.42,10.7,6.57,5,1,177,14,8,8,1,16,35,18,5,17,78,36,10,2.49,4.43,3.78,3,3,2,124,2nd line
763,D,78,18.18,96.07,6.18,6.18,11,19,194,34,4,8,0,23,49,53,17,49,114,18,3,3.2,2.12,0.86,2,2,0,135,2nd pair
764,L,79,17.4,245.03,30.53,20.08,30,17,433,82,35,29,6,13,29,21,41,46,205,96,29,7.68,11.94,10.91,12,14,9,330,1st line
765,D,42,21.88,68.22,6.45,4.5,8,6,140,24,10,5,2,16,38,82,13,20,77,12,6,2.49,1.35,2.61,4,2,4,95,1st pair
766,L,73,10.57,71.51,7.67,5.29,4,5,133,15,6,7,1,9,18,64,15,13,66,27,7,2.31,3.45,1.91,0,6,0,100,3rd line
767,C,26,12.6,40.46,2.77,2.39,5,4,75,11,2,1,0,3,6,1,8,7,48,6,1,1.73,0.65,0.39,1,1,0,55,3rd line
768,D,82,23.64,142.51,6.94,8.02,12,13,299,33,8,12,0,23,47,222,32,30,191,11,6,3.83,1.4,1.72,3,3,2,208,1st pair
769,C,46,10.96,51.31,5.85,3.4,2,4,76,8,2,5,1,2,4,23,8,4,37,24,7,0.96,2.81,2.08,0,1,1,68,3rd line
770,L,16,7.8,3.21,0.34,0.24,2,0,7,2,0,1,0,9,27,34,1,1,3,2,0,0.1,0.23,0.0,0,0,0,5,3rd line
771,D,82,21.94,151.23,7.0,8.39,7,16,296,33,10,7,0,19,44,169,29,51,203,7,5,4.51,0.81,1.68,6,2,2,215,1st pair
772,C,61,10.08,56.42,5.64,3.73,7,2,96,16,7,10,2,7,14,103,19,6,54,19,6,1.8,2.21,1.62,3,1,3,79,3rd line
773,D,82,18.78,127.67,7.4,7.56,7,10,251,26,9,5,1,11,22,119,7,45,170,12,5,3.84,1.5,2.06,3,4,2,187,2nd pair
