,playerId,season,name,team,position,situation,games_played,minutes/game,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,penalties,I_F_penalityMinutes,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts,Line_or_Pair
478,8474009,2023,Nick Bonino,NYR,C,all,38,12.47149123,29.54,3.36,2.12,3,1,56,5,1,5,3,6,7,10,4,27,10,4,0.83,1.29,1.24,1,0,0,41,3rd line
479,8476872,2023,Scott Laughton,PHI,C,all,40,15.27625,81.15,6.85,5.03,7,7,135,17,3,8,11,22,59,9,12,85,15,10,1.99,2.04,2.82,2,0,1,110,3rd line
480,8479420,2023,Tage Thompson,BUF,C,all,30,18.63888889,103.74,8.77,7.02,8,5,196,25,12,9,7,14,28,15,8,108,31,3,3.85,3.63,1.29,5,5,2,142,3rd line
481,8476457,2023,Adam Larsson,SEA,D,all,39,23.87991453,74.59,4.6,4.39,2,7,164,11,2,9,10,22,69,6,11,91,9,4,2.16,1.24,1.2,1,1,0,104,2nd line
482,8480008,2023,Adam Ruzicka,CGY,C,all,33,10.30050505,33.27,2.38,2.4,4,2,65,9,3,3,2,4,5,3,9,37,5,3,1.01,0.52,0.85,3,0,0,45,3rd pair
483,8478438,2023,Tommy Novak,NSH,C,all,29,14.36034483,55.18,6.52,4.27,6,7,98,19,6,6,3,6,1,20,12,47,21,8,1.67,2.53,2.33,1,4,1,76,2nd line
484,8479336,2023,Carl Grundstrom,LAK,R,all,36,11.56481481,71.83,6.86,4.8,2,2,134,11,7,10,5,10,68,8,10,77,17,7,2.4,2.2,2.25,4,2,1,101,1st line
485,8471214,2023,Alex Ovechkin,WSH,L,all,38,19.45,138.11,13.75,9.48,13,5,283,26,8,17,6,12,66,13,22,143,33,13,4.37,4.09,5.29,2,3,3,189,3rd line
486,8474612,2023,Travis Hamonic,OTT,D,all,35,14.96380952,38.83,0.99,1.69,1,2,83,5,2,1,14,28,37,9,20,55,1,0,0.89,0.1,0.0,2,0,0,56,1st pair
487,8480220,2023,Noah Cates,PHI,L,all,21,14.41825397,19.5,1.89,1.53,1,2,38,4,1,4,0,0,5,14,2,22,4,3,0.59,0.48,0.83,0,0,1,29,3rd pair
488,8483570,2023,Ben Meyers,COL,C,all,9,9.561111111,7.48,0.69,0.53,0,0,15,1,1,2,0,0,10,1,1,7,4,0,0.22,0.48,0.0,0,1,0,11,3rd pair
489,8477887,2023,Patrick Brown,BOS,C,all,10,8.486666667,5.77,0.53,0.37,0,1,12,1,0,1,1,2,17,0,0,7,1,1,0.22,0.09,0.22,0,0,0,9,1st pair
490,8478051,2023,Max Willman,NJD,C,all,4,11.38333333,4.64,0.26,0.25,0,0,9,1,1,0,0,0,3,0,0,4,2,0,0.08,0.18,0.0,0,1,0,6,1st line
491,8477425,2023,Miles Wood,COL,L,all,39,13.04487179,86.12,11.26,5.59,5,1,142,12,6,11,17,37,44,21,9,69,34,12,2.21,3.96,5.09,2,1,3,115,1st line
492,8481559,2023,Jack Hughes,NJD,C,all,32,20.5109375,128.57,13.39,9.52,20,10,266,45,15,17,5,10,7,34,38,132,37,12,4.05,4.3,5.04,7,3,5,181,2nd line
493,8478469,2023,Thomas Chabot,OTT,D,all,13,24.03974359,33.74,1.89,1.96,3,5,77,8,0,1,3,4,6,8,9,44,2,1,1.09,0.2,0.6,0,0,0,47,1st pair
494,8480245,2023,Olle Lycksell,PHI,R,all,1,6.183333332999999,0.0,0.0,0.0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,3rd pair
495,8479026,2023,Philippe Myers,TBL,D,all,4,13.12916667,5.47,0.15,0.26,0,0,15,0,0,1,1,2,7,0,0,8,0,0,0.15,0.0,0.0,0,0,0,8,3rd pair
496,8475455,2023,Brenden Dillon,WPG,D,all,39,18.74230769,38.3,1.29,1.85,2,6,103,13,5,5,17,49,100,4,14,52,2,1,0.87,0.21,0.21,4,1,0,55,3rd line
497,8482176,2023,Wyatt Kaiser,CHI,D,all,23,16.66811594,11.94,0.38,0.62,0,4,36,4,0,2,10,20,15,5,17,15,2,0,0.21,0.17,0.0,0,0,0,17,2nd line
498,8475722,2023,Jason Zucker,ARI,L,all,29,14.4591954,74.72,8.91,5.29,3,3,129,12,6,9,10,26,37,11,19,72,23,8,2.6,2.76,3.55,2,1,3,103,2nd line
499,8474102,2023,David Perron,DET,L,all,34,14.89068627,60.24,7.15,4.78,3,5,101,17,9,8,11,25,26,14,6,56,18,7,1.79,2.14,3.23,1,4,4,81,2nd pair
500,8479996,2023,Cody Glass,NSH,C,all,16,13.35416667,28.07,3.64,2.49,1,0,42,2,1,3,4,8,13,4,4,22,9,5,0.65,1.19,1.8,0,0,1,36,3rd line
501,8476438,2023,Brandon Saad,STL,L,all,38,15.51754386,73.54,9.17,5.27,3,4,125,16,9,4,7,14,5,15,12,53,38,8,1.71,4.65,2.81,3,6,0,99,2nd line
502,8475188,2023,Brayden McNabb,VGK,D,all,40,19.81416667,39.77,1.67,2.34,6,8,103,16,2,3,8,16,52,15,9,58,0,1,1.32,0.0,0.35,2,0,0,59,1st line
503,8474574,2023,Tyler Myers,VAN,D,all,40,19.09333333,44.26,1.75,2.46,6,9,107,17,2,7,14,28,46,7,19,62,2,1,1.26,0.17,0.31,1,1,0,65,2nd line
504,8480801,2023,Brady Tkachuk,OTT,L,all,35,19.00428571,159.26,18.06,11.89,12,0,242,28,16,22,18,48,100,21,18,139,49,25,3.47,6.18,8.41,4,7,5,213,3rd pair
505,8477955,2023,Jared McCann,SEA,L,all,38,16.75131579,104.28,9.44,6.57,4,4,196,22,14,9,8,19,16,14,17,114,16,13,3.57,1.73,4.14,6,3,5,143,3rd line
506,8477507,2023,Nikita Zadorov,VAN,D,all,36,18.46527778,54.33,1.57,2.54,5,2,114,8,1,2,15,39,62,14,21,76,0,0,1.57,0.0,0.0,1,0,0,76,1st pair
507,8479402,2023,Jake Bean,CBJ,D,all,38,16.11315789,47.35,2.38,2.54,3,1,114,7,3,4,8,16,13,14,6,64,2,2,1.48,0.34,0.57,1,1,1,68,1st line
508,8478466,2023,Daniel Sprong,DET,R,all,40,12.96,106.12,8.53,6.82,11,5,184,26,10,14,8,16,14,9,11,108,28,7,3.09,3.11,2.34,1,6,3,143,1st line
509,8480829,2023,Jesperi Kotkaniemi,CAR,C,all,40,14.78291667,90.06,10.52,6.95,6,2,156,17,9,8,13,26,25,12,21,79,33,11,2.85,4.08,3.59,2,3,4,123,2nd line
510,8476889,2023,Radek Faksa,DAL,C,all,32,12.89739583,36.89,5.96,2.58,4,0,67,7,3,8,5,10,18,9,7,33,14,7,1.15,1.95,2.85,1,2,0,54,1st line
511,8473504,2023,Cal Clutterbuck,NYI,R,all,39,13.12008547,32.85,4.33,2.29,6,2,55,12,4,5,7,14,106,15,13,29,8,8,0.78,1.08,2.47,1,3,0,45,1st line
512,8473507,2023,Jeff Petry,DET,D,all,31,18.53225806,38.81,1.73,2.31,5,4,86,11,2,6,6,12,41,3,15,52,4,0,1.1,0.63,0.0,2,0,0,56,1st line
513,8476875,2023,Mike Matheson,MTL,D,all,39,25.07094017,89.6,4.45,6.23,10,11,199,27,6,8,16,32,22,22,38,114,12,2,2.77,1.22,0.46,4,0,2,128,1st pair
