,minutes/game,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_shotAttempts,I_F_points,I_F_rebounds,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts
575,11.47,65.41,7.85,5.38,113,18,7,14,16,45,37,5,1.46,4.83,1.56,1,7,0,87
576,8.86,11.32,1.39,0.76,16,0,1,2,1,9,4,2,0.28,0.57,0.54,0,0,0,15
577,16.28,134.53,18.06,9.62,226,32,10,34,22,118,38,25,3.98,4.73,9.36,2,2,8,181
578,17.43,234.52,24.25,16.3,414,49,20,44,25,230,61,24,7.26,7.88,9.09,11,8,8,315
579,8.86,19.31,2.56,1.27,33,7,2,7,6,16,5,4,0.6,0.62,1.34,1,1,2,25
580,8.59,4.76,0.79,0.42,8,3,1,1,1,2,4,0,0.13,0.66,0.0,0,1,0,6
581,17.67,53.79,2.35,2.99,116,6,2,9,17,70,3,2,1.4,0.42,0.53,0,1,1,75
582,16.29,173.14,24.46,14.57,302,41,14,33,22,124,80,31,4.47,10.05,9.95,8,7,9,235
583,15.25,94.98,3.62,5.4,221,21,6,38,33,131,7,0,2.76,0.85,0.0,5,0,0,138
584,11.29,84.85,6.85,5.14,153,17,5,17,18,91,15,8,2.19,2.04,2.62,3,2,2,114
585,15.43,60.97,7.33,4.23,99,13,7,12,6,52,23,8,1.64,2.63,3.07,1,2,2,83
586,24.13,237.1,16.92,16.27,459,73,23,33,52,298,25,16,7.23,3.01,6.69,7,5,4,339
587,11.43,39.99,4.59,2.53,74,11,3,6,20,37,13,6,1.18,1.58,1.83,2,0,1,56
588,11.1,43.29,4.29,2.83,77,9,8,21,13,42,15,2,1.64,2.0,0.65,1,4,1,59
589,11.93,27.2,3.82,2.12,45,6,3,5,4,18,13,5,0.63,1.63,1.56,0,2,1,36
590,16.22,18.6,0.74,1.04,43,3,3,4,10,25,1,1,0.39,0.12,0.23,0,0,1,27
591,14.61,100.71,11.28,6.42,164,27,7,27,34,94,29,12,2.75,3.98,4.55,4,8,0,135
592,12.78,77.66,8.31,5.46,146,20,4,30,17,71,26,8,2.54,3.17,2.59,4,3,2,105
593,10.23,83.28,8.38,5.22,139,11,7,19,21,82,25,8,2.31,3.15,2.91,2,3,4,115
594,20.25,43.2,2.4,2.58,109,10,6,8,31,59,1,3,1.21,0.11,1.08,1,0,2,63
595,10.18,42.74,4.17,3.0,79,9,5,6,6,40,14,4,1.26,1.74,1.17,1,0,1,58
