name,minutes/game,games_played,icetime,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_shotAttempts,I_F_points,I_F_rebounds,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts
Oliver Wahlstrom,12.06,73,52818,154.9,16.1,11.18,276,24,10,19,20,160,37,18,5.33,4.43,6.34,6,1,6,215
Kole Lind,11.83,23,16327,28.25,2.67,1.82,47,8,3,7,3,26,12,1,0.83,1.43,0.41,1,1,0,39
Patric Hornqvist,12.69,65,49493,152.49,16.54,12.64,240,28,26,24,14,127,57,20,3.79,6.64,6.11,5,3,3,204
Emil Bemstrom,10.52,41,25881,60.68,5.37,4.19,105,11,4,11,5,64,15,5,1.91,1.89,1.57,2,1,3,84
Slater Koekkoek,11.17,19,12738,13.03,0.31,0.66,26,4,1,1,1,19,0,0,0.31,0,0,0,0,0,19
Dakota Mermis,13.90,2,1668,1.33,0.02,0.05,5,0,0,0,0,2,0,0,0.02,0,0,0,0,0,2
Dominik Simon,10.29,72,44435,82.47,7.76,5.91,138,13,6,22,20,79,32,3,2.57,4.27,0.92,1,2,0,114
Jack Eichel,19.39,34,39559,117.7,11.21,8.25,193,25,5,25,29,120,30,10,3.93,3.68,3.6,4,8,2,160
Darnell Nurse,25.05,71,106707,201.76,10.71,11.37,410,35,8,33,67,255,27,4,6.11,2.96,1.64,4,4,1,286
Brendan Gaunce,8.10,30,14573,43.25,4.64,2.98,71,7,2,8,3,47,10,5,1.68,1.22,1.73,1,2,2,62
Blake Coleman,14.82,81,72028,198.66,20.8,13.13,329,33,13,34,47,180,65,23,5.74,7.71,7.35,5,10,1,268
Sidney Crosby,19.97,69,82694,203.16,26.02,15.46,334,84,20,34,54,181,60,31,6.71,7.01,12.3,11,8,12,272
Neal Pionk,21.14,77,97665,137.91,5.97,9.13,278,34,8,27,68,192,10,1,4.56,1.07,0.34,3,0,0,203
Tyson Barrie,18.96,73,83056,133.06,6.11,9.21,297,41,9,14,43,187,11,2,4.14,1.18,0.79,5,2,0,200
Drew Doughty,25.74,39,60222,88.45,5.94,6.04,183,31,9,9,24,112,11,4,2.93,1.2,1.81,4,0,3,127
Brock Boeser,18.57,71,79119,200.79,25.26,15.03,391,46,16,33,21,198,63,24,7.17,7.44,10.65,8,6,9,285
Peyton Krebs,14.58,57,49880,56.78,4.86,3.95,99,22,1,15,35,56,21,2,1.9,2.24,0.71,1,6,0,79
Ryan Dzingel,13.71,32,26327,33.23,3.86,2.38,58,8,3,13,8,27,14,4,0.93,1.68,1.26,3,1,1,45
Andrej Sekera,13.71,32,26332,23.5,0.83,1.41,53,4,2,3,14,33,2,0,0.54,0.28,0,0,1,0,35
Calle Rosen,14.33,18,15474,17.86,0.88,0.98,39,7,1,3,11,22,3,0,0.6,0.27,0,1,1,0,25
Wayne Simmonds,9.33,72,40307,78.88,10.32,6.29,133,16,2,15,18,47,47,10,1.66,5.78,2.88,0,2,3,104
Ty Smith,17.50,66,69318,78.41,3.69,4.85,187,20,2,13,40,106,7,2,2.33,0.83,0.53,4,1,0,115
Jake Muzzin,20.73,47,58450,71.25,2.54,4.12,166,14,3,12,44,101,3,0,2.23,0.31,0,3,0,0,104
CJ Suess,5.71,3,1028,1.35,0.06,0.08,2,0,0,1,0,2,0,0,0.06,0,0,0,0,0,2
Max Domi,13.04,72,56313,104.96,11.28,7.2,206,39,13,36,33,106,28,11,3.34,3.49,4.46,2,5,4,145
