,name,minutes/game,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_shotAttempts,I_F_points,I_F_rebounds,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts
401,Tyler Benson,8.54,18.03,1.09,1.07,35,2,1,3,6,22,3,0,0.67,0.43,0.0,0,1,0,25
402,Riley Nash,11.43,41.18,4.48,2.87,64,4,3,18,12,44,9,3,1.72,1.11,1.65,0,0,0,56
403,Joel Kiviranta,9.52,59.06,5.78,4.06,98,7,6,7,9,52,19,7,1.73,2.11,1.94,1,0,0,78
404,Matthew Highmore,12.69,58.98,6.5,3.81,95,12,5,16,6,56,18,7,1.76,2.33,2.4,1,2,2,81
405,Philip Broberg,13.47,27.89,1.06,1.61,60,3,3,5,14,40,1,0,0.97,0.09,0.0,1,0,0,41
406,Otto Koivula,10.74,6.0,0.49,0.46,11,2,0,1,1,7,2,0,0.3,0.19,0.0,0,0,0,9
407,Brett Ritchie,9.72,53.73,4.88,3.51,91,4,2,3,11,56,15,4,1.94,1.91,1.03,2,0,1,75
408,Christian Wolanin,14.7,4.75,0.44,0.31,11,2,0,6,3,5,1,1,0.11,0.08,0.24,0,0,1,7
409,Henri Jokiharju,21.88,68.46,3.83,4.32,146,19,5,12,36,95,4,3,1.88,0.5,1.45,2,0,1,102
410,Rocco Grimaldi,10.93,7.25,0.88,0.55,13,0,1,5,3,9,0,1,0.33,0.0,0.55,0,0,0,10
411,Bo Horvat,19.49,187.62,25.74,13.85,304,52,11,32,25,164,69,28,5.53,7.96,12.26,9,11,11,261
412,Sonny Milano,15.28,98.73,12.87,7.93,177,34,5,29,34,88,39,14,2.81,4.43,5.62,2,6,6,141
413,Carson Soucy,17.66,81.72,4.24,5.27,169,21,6,23,29,106,11,1,2.65,1.35,0.24,8,2,0,118
414,Vince Dunn,20.68,121.65,6.52,8.17,282,35,12,25,48,162,14,3,3.82,1.61,1.09,5,0,2,179
415,Blake Speers,9.16,0.74,0.03,0.05,2,0,0,1,1,1,0,0,0.03,0.0,0.0,0,0,0,1
416,Joe Veleno,13.21,71.28,6.95,4.99,125,15,4,19,12,66,24,7,2.07,2.84,2.04,3,3,2,97
417,Marc Staal,17.42,73.1,3.84,4.33,141,16,6,13,29,94,6,4,2.25,0.69,0.9,2,0,1,104
418,Cole Sillinger,13.7,145.8,15.92,10.79,254,31,9,24,24,125,65,11,4.64,7.86,3.41,6,8,2,201
419,Travis Konecny,17.61,220.85,23.47,16.1,382,52,19,22,28,199,74,24,6.16,9.36,7.94,6,2,8,297
420,Ryan Murray,14.09,23.07,1.1,1.34,45,4,1,4,8,31,1,1,0.73,0.11,0.27,0,0,0,33
421,Liam Foudy,11.85,0.54,0.07,0.05,1,0,0,0,0,1,0,0,0.07,0.0,0.0,0,0,0,1
422,Brandon Duhaime,10.22,89.16,8.58,6.12,161,17,4,16,13,81,32,7,2.46,4.25,1.87,4,2,0,120
423,Esa Lindell,22.05,109.67,4.91,5.79,211,25,8,20,55,148,9,2,2.97,0.96,0.98,4,0,0,159
424,Boris Katchouk,9.92,60.61,6.16,4.1,100,7,2,16,7,51,23,6,1.68,2.8,1.69,1,0,2,80
425,Casey Fitzgerald,16.88,34.01,1.45,2.01,67,6,1,13,17,46,4,0,0.98,0.47,0.0,0,0,0,50
426,Taylor Hall,16.41,192.99,20.58,14.05,322,61,13,33,48,181,62,18,5.65,7.75,7.19,5,6,9,261
427,Jake Bean,20.57,92.98,4.68,5.66,209,25,8,21,23,121,11,2,2.71,1.35,0.62,6,1,0,134
428,Eetu Luostarinen,13.44,82.01,10.25,6.16,153,26,8,38,27,61,36,13,2.4,4.31,3.54,1,5,3,110
429,Sean Couturier,20.39,78.9,9.17,5.77,136,17,9,25,17,72,23,13,2.19,2.64,4.34,1,1,4,108
430,Nate Schmidt,20.21,116.49,5.43,7.42,257,32,7,32,66,162,8,2,3.63,0.95,0.85,2,0,2,172
431,Trevor Lewis,12.83,111.09,9.78,6.83,180,16,6,11,9,115,27,11,3.13,3.04,3.6,1,2,3,153
432,Scott Sabourin,7.6,6.46,0.61,0.46,10,2,0,1,2,5,4,0,0.13,0.48,0.0,0,0,0,9
433,Sheldon Dries,10.3,18.21,1.68,1.4,28,3,1,2,1,18,8,0,0.84,0.84,0.0,2,0,0,26
434,Drake Caggiula,14.64,22.29,1.96,1.39,37,5,1,6,2,23,6,2,0.67,0.71,0.58,1,1,0,31
435,Josh Mahura,14.06,37.61,1.5,1.83,82,7,2,5,17,50,1,1,1.08,0.08,0.34,2,1,0,52
436,Cole Schwindt,14.13,4.62,0.38,0.35,10,0,0,1,2,4,2,0,0.13,0.25,0.0,0,0,0,6
437,Kevin Fiala,17.65,262.5,28.33,19.79,453,85,18,38,54,241,90,27,8.26,10.84,9.23,9,15,9,358
438,Juuso Valimaki,15.71,9.02,0.34,0.47,21,2,1,3,3,13,0,0,0.34,0.0,0.0,0,0,0,13
439,Alex Barre-Boulet,11.0,15.16,1.91,1.28,28,6,2,4,3,13,6,2,0.49,0.89,0.53,2,1,0,21
440,Scott Reedy,11.19,35.0,5.74,2.95,54,9,3,6,5,28,12,8,1.07,1.48,3.2,2,0,5,48
441,Alexander Alexeyev,10.58,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
442,Calle Jarnkrok,16.04,99.67,11.72,7.08,175,30,8,27,12,104,23,15,3.54,2.81,5.37,3,2,7,142
443,Paul Stastny,17.78,125.7,21.94,10.64,196,45,9,38,21,70,73,29,2.74,9.42,9.77,2,9,10,172
444,Moritz Seider,23.05,171.47,8.96,10.8,355,50,15,41,48,233,7,6,5.48,0.78,2.7,4,2,1,246
445,Luke Schenn,17.21,67.6,3.47,3.87,163,17,3,7,42,97,1,3,1.58,0.17,1.72,1,1,3,101
446,Gustav Nyquist,17.84,128.48,17.41,9.0,208,53,13,46,25,102,49,18,3.48,6.3,7.63,4,7,7,169
447,Dillon Dube,12.84,136.9,15.31,9.58,228,32,13,24,23,117,54,17,4.22,6.08,5.01,8,8,2,188
448,Erik Gudbranson,18.14,124.71,3.61,6.57,268,17,8,20,42,176,5,0,3.09,0.52,0.0,6,0,0,181
449,Brendan Perlini,8.37,24.71,2.05,1.62,44,5,1,3,2,26,6,2,0.81,0.78,0.46,1,2,1,34
450,Rafael Harvey-Pinard,13.09,4.5,0.55,0.48,7,1,1,2,1,2,4,0,0.08,0.47,0.0,0,1,0,6
451,Will Butcher,16.48,39.26,2.1,2.53,78,8,2,1,10,54,6,0,1.37,0.73,0.0,1,1,0,60
452,Alexandre Texier,14.61,59.15,8.48,3.97,109,20,4,16,5,52,19,11,1.76,2.2,4.52,4,2,5,82
453,Tyler Lewington,12.44,2.08,0.04,0.11,3,0,0,0,0,3,0,0,0.04,0.0,0.0,0,0,0,3
454,Barrett Hayton,16.12,82.86,10.91,6.11,150,24,8,18,18,67,38,11,2.15,4.54,4.21,3,3,4,116
